Time: 1684818337, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684818347, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684818357, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684818367, number of blocks: 20, average latency 1: 17.37, average latency 2: 14.00, average tps: 422.29, average Mbps: 3.33 
Time: 1684818377, number of blocks: 20, average latency 1: 17.40, average latency 2: 14.00, average tps: 422.39, average Mbps: 3.33 
Time: 1684818387, number of blocks: 20, average latency 1: 17.40, average latency 2: 14.00, average tps: 422.42, average Mbps: 3.33 
Time: 1684818397, number of blocks: 55, average latency 1: 23.15, average latency 2: 14.00, average tps: 1040.07, average Mbps: 8.21 
Time: 1684818407, number of blocks: 55, average latency 1: 23.14, average latency 2: 13.99, average tps: 1040.88, average Mbps: 8.21 
Time: 1684818417, number of blocks: 55, average latency 1: 23.15, average latency 2: 13.99, average tps: 1040.82, average Mbps: 8.21 
Time: 1684818427, number of blocks: 50, average latency 1: 27.46, average latency 2: 14.00, average tps: 1376.20, average Mbps: 10.86 
Time: 1684818437, number of blocks: 50, average latency 1: 27.46, average latency 2: 13.99, average tps: 1377.22, average Mbps: 10.87 
Time: 1684818447, number of blocks: 50, average latency 1: 27.46, average latency 2: 14.01, average tps: 1375.24, average Mbps: 10.85 
Time: 1684818461, number of blocks: 40, average latency 1: 29.34, average latency 2: 13.00, average tps: 1636.85, average Mbps: 12.92 
Time: 1684818471, number of blocks: 40, average latency 1: 29.34, average latency 2: 13.00, average tps: 1637.12, average Mbps: 12.92 
Time: 1684818481, number of blocks: 40, average latency 1: 29.34, average latency 2: 13.00, average tps: 1636.87, average Mbps: 12.92 
Time: 1684818491, number of blocks: 40, average latency 1: 29.33, average latency 2: 12.99, average tps: 1638.95, average Mbps: 12.93 
Time: 1684818501, number of blocks: 47, average latency 1: 31.31, average latency 2: 13.99, average tps: 1627.03, average Mbps: 12.84 
Time: 1684818511, number of blocks: 47, average latency 1: 31.31, average latency 2: 13.99, average tps: 1627.16, average Mbps: 12.84 
Time: 1684818521, number of blocks: 47, average latency 1: 31.31, average latency 2: 14.00, average tps: 1626.62, average Mbps: 12.84 
Time: 1684818531, number of blocks: 47, average latency 1: 31.31, average latency 2: 14.00, average tps: 1626.16, average Mbps: 12.83 
Time: 1684818541, number of blocks: 49, average latency 1: 31.31, average latency 2: 13.00, average tps: 1875.24, average Mbps: 14.80 
Time: 1684818551, number of blocks: 49, average latency 1: 31.30, average latency 2: 13.00, average tps: 1874.31, average Mbps: 14.79 
Time: 1684818561, number of blocks: 49, average latency 1: 31.31, average latency 2: 13.00, average tps: 1874.30, average Mbps: 14.79 
Time: 1684818574, number of blocks: 42, average latency 1: 32.56, average latency 2: 13.01, average tps: 1771.42, average Mbps: 13.98 
Time: 1684818584, number of blocks: 42, average latency 1: 32.54, average latency 2: 13.01, average tps: 1772.19, average Mbps: 13.98 

1511.5
28.5
