Time: 1684819696, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819706, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819716, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684819726, number of blocks: 28, average latency 1: 19.99, average latency 2: 16.00, average tps: 397.46, average Mbps: 3.14 
Time: 1684819736, number of blocks: 28, average latency 1: 20.00, average latency 2: 15.99, average tps: 397.64, average Mbps: 3.14 
Time: 1684819746, number of blocks: 21, average latency 1: 25.03, average latency 2: 16.00, average tps: 680.05, average Mbps: 5.37 
Time: 1684819756, number of blocks: 21, average latency 1: 25.04, average latency 2: 16.01, average tps: 680.04, average Mbps: 5.37 
Time: 1684819766, number of blocks: 21, average latency 1: 25.04, average latency 2: 16.01, average tps: 679.95, average Mbps: 5.37 
Time: 1684819778, number of blocks: 34, average latency 1: 28.12, average latency 2: 17.00, average tps: 893.41, average Mbps: 7.05 
Time: 1684819788, number of blocks: 34, average latency 1: 28.13, average latency 2: 17.00, average tps: 893.72, average Mbps: 7.05 
Time: 1684819996, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684820006, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684820016, number of blocks: 0, average latency 1: NaN, average latency 2: NaN, average tps: NaN, average Mbps: NaN 
Time: 1684820026, number of blocks: 33, average latency 1: 19.86, average latency 2: 16.01, average tps: 420.91, average Mbps: 3.32 
Time: 1684820036, number of blocks: 33, average latency 1: 19.84, average latency 2: 16.01, average tps: 420.69, average Mbps: 3.32 
Time: 1684820051, number of blocks: 33, average latency 1: 25.93, average latency 2: 15.98, average tps: 844.49, average Mbps: 6.66 
Time: 1684820061, number of blocks: 33, average latency 1: 25.94, average latency 2: 16.00, average tps: 843.56, average Mbps: 6.66 
Time: 1684820071, number of blocks: 33, average latency 1: 25.95, average latency 2: 16.00, average tps: 843.45, average Mbps: 6.66 
Time: 1684820083, number of blocks: 31, average latency 1: 31.04, average latency 2: 18.00, average tps: 887.35, average Mbps: 7.00 
Time: 1684820093, number of blocks: 31, average latency 1: 31.05, average latency 2: 18.00, average tps: 887.59, average Mbps: 7.00 
Time: 1684820103, number of blocks: 31, average latency 1: 31.05, average latency 2: 18.00, average tps: 887.72, average Mbps: 7.00 
Time: 1684820117, number of blocks: 37, average latency 1: 32.43, average latency 2: 16.99, average tps: 1136.26, average Mbps: 8.97 
Time: 1684820127, number of blocks: 37, average latency 1: 32.44, average latency 2: 17.00, average tps: 1135.72, average Mbps: 8.96 
Time: 1684820137, number of blocks: 37, average latency 1: 32.43, average latency 2: 17.00, average tps: 1135.56, average Mbps: 8.96 
Time: 1684820147, number of blocks: 28, average latency 1: 32.56, average latency 2: 16.00, average tps: 1073.61, average Mbps: 8.47 
Time: 1684820157, number of blocks: 28, average latency 1: 32.57, average latency 2: 16.00, average tps: 1073.66, average Mbps: 8.47 
Time: 1684820167, number of blocks: 28, average latency 1: 32.57, average latency 2: 16.00, average tps: 1073.67, average Mbps: 8.47 
Time: 1684820177, number of blocks: 27, average latency 1: 31.14, average latency 2: 16.00, average tps: 1001.50, average Mbps: 7.90 
Time: 1684820187, number of blocks: 27, average latency 1: 31.13, average latency 2: 16.01, average tps: 1001.13, average Mbps: 7.90 

937.2
29.7
